outcome,month,mmwr_week,week_date,age_group,vaccine_product,crude_vax_ir,crude_unvax_ir,crude_irr,age_adj_vax_ir,age_adj_unvax_ir,age_adj_irr
case,04 - APR,14,Apr 04-Apr 10,12-17,all_types,14.021312395,231.534315784,16.513027402,,,
case,04 - APR,14,Apr 04-Apr 10,18-29,all_types,33.23168556,274.515843891,8.260665665,,,
case,04 - APR,14,Apr 04-Apr 10,30-49,all_types,30.460406202,250.979057312,8.239517741,,,
case,04 - APR,14,Apr 04-Apr 10,50-64,all_types,26.446468769,192.311420483,7.271723955,,,
case,04 - APR,14,Apr 04-Apr 10,65-79,all_types,13.722634766,159.418827184,11.617217095,,,
case,04 - APR,14,Apr 04-Apr 10,80+,all_types,19.35900718,126.783270174,6.549058482,,,
case,04 - APR,14,Apr 04-Apr 10,all_ages_adj,Janssen,69.219411896,230.485324848,3.329778722,65.747460908,227.603252377,3.461780109
case,04 - APR,14,Apr 04-Apr 10,all_ages_adj,Moderna,12.043311444,230.485324848,19.13803574,27.120138976,227.603252377,8.392407302
case,04 - APR,14,Apr 04-Apr 10,all_ages_adj,Pfizer,23.506058247,230.485324848,9.805358364,27.143935033,227.603252377,8.385049998
case,04 - APR,14,Apr 04-Apr 10,all_ages_adj,all_types,21.23134471,230.485324848,10.855898578,26.235620577,227.603252377,8.675352341
case,04 - APR,15,Apr 11-Apr 17,12-17,all_types,15.539210608,224.68206163,14.459039606,,,
case,04 - APR,15,Apr 11-Apr 17,18-29,all_types,30.082686736,257.487324456,8.559319409,,,
case,04 - APR,15,Apr 11-Apr 17,30-49,all_types,31.183448501,242.060377719,7.762463401,,,
case,04 - APR,15,Apr 11-Apr 17,50-64,all_types,24.258689799,190.108026233,7.836698017,,,
case,04 - APR,15,Apr 11-Apr 17,65-79,all_types,14.158809476,171.402449759,12.105710586,,,
case,04 - APR,15,Apr 11-Apr 17,80+,all_types,20.386439262,128.589080659,6.30757922,,,
case,04 - APR,15,Apr 11-Apr 17,all_ages_adj,Janssen,68.755857847,224.247287792,3.261500835,80.956181669,221.326637247,2.733906574
case,04 - APR,15,Apr 11-Apr 17,all_ages_adj,Moderna,12.342927117,224.247287792,18.16808004,14.462213239,221.326637247,15.303787435
case,04 - APR,15,Apr 11-Apr 17,all_ages_adj,Pfizer,22.71032641,224.247287792,9.874243273,25.420758141,221.326637247,8.706531726
case,04 - APR,15,Apr 11-Apr 17,all_ages_adj,all_types,21.218757617,224.247287792,10.568351448,25.745537262,221.326637247,8.596699109
case,04 - APR,16,Apr 18-Apr 24,12-17,all_types,10.265886459,190.40256125,18.547113491,,,
case,04 - APR,16,Apr 18-Apr 24,18-29,all_types,27.195910415,217.785173017,8.008011855,,,
case,04 - APR,16,Apr 18-Apr 24,30-49,all_types,28.72655562,206.005519942,7.171257239,,,
case,04 - APR,16,Apr 18-Apr 24,50-64,all_types,21.742741029,172.162692144,7.918168731,,,
case,04 - APR,16,Apr 18-Apr 24,65-79,all_types,12.67589415,158.674004847,12.517776101,,,
case,04 - APR,16,Apr 18-Apr 24,80+,all_types,17.597266697,123.545964035,7.020747379,,,
case,04 - APR,16,Apr 18-Apr 24,all_ages_adj,Janssen,58.533839213,194.412501642,3.321369387,52.777711176,191.898685135,3.635979675
case,04 - APR,16,Apr 18-Apr 24,all_ages_adj,Moderna,11.788193777,194.412501642,16.492136566,22.303184855,191.898685135,8.604093379
case,04 - APR,16,Apr 18-Apr 24,all_ages_adj,Pfizer,19.39269609,194.412501642,10.0250373,21.204273426,191.898685135,9.050000501
case,04 - APR,16,Apr 18-Apr 24,all_ages_adj,all_types,19.474071473,194.412501642,9.98314615,22.998441444,191.898685135,8.343986509
case,04 - APR,17,Apr 25-May 01,12-17,all_types,18.233756762,180.824112875,9.916997097,,,
case,04 - APR,17,Apr 25-May 01,18-29,all_types,22.830398676,189.701184937,8.309149027,,,
case,04 - APR,17,Apr 25-May 01,30-49,all_types,24.851839663,187.320377445,7.537485353,,,
case,04 - APR,17,Apr 25-May 01,50-64,all_types,17.211430687,155.298316866,9.022975468,,,
case,04 - APR,17,Apr 25-May 01,65-79,all_types,11.791216063,142.33138912,12.070967775,,,
case,04 - APR,17,Apr 25-May 01,80+,all_types,19.638398018,108.964354051,5.548535779,,,
case,04 - APR,17,Apr 25-May 01,all_ages_adj,Janssen,45.17758365,175.443481587,3.883418886,41.093727511,173.099824893,4.212317436
case,04 - APR,17,Apr 25-May 01,all_ages_adj,Moderna,11.064476011,175.443481587,15.85646545,11.979053181,173.099824893,14.450209235
case,04 - APR,17,Apr 25-May 01,all_ages_adj,Pfizer,17.432437485,175.443481587,10.064196802,19.638989369,173.099824893,8.814090259
case,04 - APR,17,Apr 25-May 01,all_ages_adj,all_types,17.579376193,175.443481587,9.980074359,20.713558094,173.099824893,8.356836817
case,05 - MAY,18,May 02-May 08,12-17,all_types,4.382889201,143.283907399,32.691656312,,,
case,05 - MAY,18,May 02-May 08,18-29,all_types,17.443054944,156.249758133,8.957706012,,,
case,05 - MAY,18,May 02-May 08,30-49,all_types,17.700305022,162.272685183,9.167790328,,,
case,05 - MAY,18,May 02-May 08,50-64,all_types,13.240058024,138.214308,10.439101381,,,
case,05 - MAY,18,May 02-May 08,65-79,all_types,9.014145265,127.994942502,14.199343225,,,
case,05 - MAY,18,May 02-May 08,80+,all_types,16.020792118,97.077131183,6.059446404,,,
case,05 - MAY,18,May 02-May 08,all_ages_adj,Janssen,37.474099417,149.394269542,3.986600662,34.355040877,148.305233665,4.316840553
case,05 - MAY,18,May 02-May 08,all_ages_adj,Moderna,7.801576628,149.394269542,19.14924081,8.001234813,148.305233665,18.535293255
case,05 - MAY,18,May 02-May 08,all_ages_adj,Pfizer,13.901175186,149.394269542,10.746880573,14.035371196,148.305233665,10.566534479
case,05 - MAY,18,May 02-May 08,all_ages_adj,all_types,13.435365907,149.394269542,11.119479036,14.417029541,148.305233665,10.286809308
case,05 - MAY,19,May 09-May 15,12-17,all_types,6.604306008,115.660702703,17.512923019,,,
case,05 - MAY,19,May 09-May 15,18-29,all_types,12.216580764,140.964273033,11.538766514,,,
case,05 - MAY,19,May 09-May 15,30-49,all_types,12.301223413,150.852171851,12.263184465,,,
case,05 - MAY,19,May 09-May 15,50-64,all_types,10.045891514,134.563456249,13.394874518,,,
case,05 - MAY,19,May 09-May 15,65-79,all_types,8.56693482,127.466155122,14.878851981,,,
case,05 - MAY,19,May 09-May 15,80+,all_types,13.527886636,88.482682675,6.540761691,,,
case,05 - MAY,19,May 09-May 15,all_ages_adj,Janssen,27.904763034,137.07153352,4.912119603,25.370437824,137.199182525,5.407836612
case,05 - MAY,19,May 09-May 15,all_ages_adj,Moderna,6.859459268,137.07153352,19.982848234,6.693887819,137.199182525,20.496187899
case,05 - MAY,19,May 09-May 15,all_ages_adj,Pfizer,10.952295121,137.07153352,12.515325054,10.649216672,137.199182525,12.883499956
case,05 - MAY,19,May 09-May 15,all_ages_adj,all_types,10.62230137,137.07153352,12.904127716,10.9149717,137.199182525,12.569815689
case,05 - MAY,20,May 16-May 22,12-17,all_types,4.596628196,81.39072034,17.706613818,,,
case,05 - MAY,20,May 16-May 22,18-29,all_types,8.029579218,104.835623585,13.056179003,,,
case,05 - MAY,20,May 16-May 22,30-49,all_types,10.148158207,115.066750903,11.338683193,,,
case,05 - MAY,20,May 16-May 22,50-64,all_types,8.355015805,101.215493996,12.114339021,,,
case,05 - MAY,20,May 16-May 22,65-79,all_types,7.547037541,99.023440395,13.120835805,,,
case,05 - MAY,20,May 16-May 22,80+,all_types,11.690812739,74.591084938,6.380316459,,,
case,05 - MAY,20,May 16-May 22,all_ages_adj,Janssen,21.848155714,102.899742262,4.709767891,19.422730451,103.652415769,5.336655216
case,05 - MAY,20,May 16-May 22,all_ages_adj,Moderna,6.090434402,102.899742262,16.895304255,9.995992504,103.652415769,10.369397109
case,05 - MAY,20,May 16-May 22,all_ages_adj,Pfizer,8.932858928,102.899742262,11.519239595,8.33643278,103.652415769,12.433665395
case,05 - MAY,20,May 16-May 22,all_ages_adj,all_types,8.782157218,102.899742262,11.716909605,8.607435118,103.652415769,12.042195421
case,05 - MAY,21,May 23-May 29,12-17,all_types,2.527735579,54.106186478,21.405002539,,,
case,05 - MAY,21,May 23-May 29,18-29,all_types,6.697450224,79.858804383,11.923762285,,,
case,05 - MAY,21,May 23-May 29,30-49,all_types,8.224951663,90.781407845,11.037318098,,,
case,05 - MAY,21,May 23-May 29,50-64,all_types,6.822243131,80.557766518,11.808105482,,,
case,05 - MAY,21,May 23-May 29,65-79,all_types,5.839686229,82.904563257,14.196749622,,,
case,05 - MAY,21,May 23-May 29,80+,all_types,11.519490758,59.280544992,5.146108126,,,
case,05 - MAY,21,May 23-May 29,all_ages_adj,Janssen,19.274067189,79.430563919,4.121110669,17.751850088,80.857479612,4.554876208
case,05 - MAY,21,May 23-May 29,all_ages_adj,Moderna,4.640634608,79.430563919,17.116315037,4.124440724,80.857479612,19.604471252
case,05 - MAY,21,May 23-May 29,all_ages_adj,Pfizer,7.462504029,79.430563919,10.643955918,6.909071217,80.857479612,11.703089615
case,05 - MAY,21,May 23-May 29,all_ages_adj,all_types,7.224653568,79.430563919,10.994376847,6.948866567,80.857479612,11.636067384
case,06 - JUN,22,May 30-Jun 05,12-17,all_types,3.21441343,40.632010822,12.640567777,,,
case,06 - JUN,22,May 30-Jun 05,18-29,all_types,5.621427913,68.048865242,12.105263341,,,
case,06 - JUN,22,May 30-Jun 05,30-49,all_types,7.137825385,77.999796807,10.927669508,,,
case,06 - JUN,22,May 30-Jun 05,50-64,all_types,6.18799558,70.950174007,11.465776452,,,
case,06 - JUN,22,May 30-Jun 05,65-79,all_types,5.807783486,67.700903471,11.656926199,,,
case,06 - JUN,22,May 30-Jun 05,80+,all_types,8.396052329,51.270421896,6.106491466,,,
case,06 - JUN,22,May 30-Jun 05,all_ages_adj,Janssen,17.196754287,67.240551861,3.910072258,22.442510509,68.68660506,3.060557999
case,06 - JUN,22,May 30-Jun 05,all_ages_adj,Moderna,4.122025518,67.240551861,16.312502571,3.625254266,68.68660506,18.946700018
case,06 - JUN,22,May 30-Jun 05,all_ages_adj,Pfizer,6.571844725,67.240551861,10.231609947,6.110746648,68.68660506,11.240296648
case,06 - JUN,22,May 30-Jun 05,all_ages_adj,all_types,6.398215836,67.240551861,10.509265955,6.16658089,68.68660506,11.138523322
case,06 - JUN,23,Jun 06-Jun 12,12-17,all_types,3.675145168,37.28988082,10.146505543,,,
case,06 - JUN,23,Jun 06-Jun 12,18-29,all_types,6.566695671,64.592985553,9.836451815,,,
case,06 - JUN,23,Jun 06-Jun 12,30-49,all_types,6.699136851,72.057044413,10.756168447,,,
case,06 - JUN,23,Jun 06-Jun 12,50-64,all_types,6.536420157,63.250340455,9.676602626,,,
case,06 - JUN,23,Jun 06-Jun 12,65-79,all_types,5.492435395,65.478464185,11.921572031,,,
case,06 - JUN,23,Jun 06-Jun 12,80+,all_types,10.180951117,42.734090198,4.197455592,,,
case,06 - JUN,23,Jun 06-Jun 12,all_ages_adj,Janssen,15.550828545,62.290051085,4.005577639,17.251412811,63.489993987,3.680277939
case,06 - JUN,23,Jun 06-Jun 12,all_ages_adj,Moderna,4.325913018,62.290051085,14.399284226,3.888547803,63.489993987,16.327430498
case,06 - JUN,23,Jun 06-Jun 12,all_ages_adj,Pfizer,6.901685636,62.290051085,9.02533879,6.405483012,63.489993987,9.911819899
case,06 - JUN,23,Jun 06-Jun 12,all_ages_adj,all_types,6.545354993,62.290051085,9.516680326,6.334764306,63.489993987,10.022471385
case,06 - JUN,24,Jun 13-Jun 19,12-17,all_types,2.22689871,39.339142264,17.665438529,,,
case,06 - JUN,24,Jun 13-Jun 19,18-29,all_types,6.130515385,71.528591807,11.667631074,,,
case,06 - JUN,24,Jun 13-Jun 19,30-49,all_types,6.990334952,78.216648907,11.18925623,,,
case,06 - JUN,24,Jun 13-Jun 19,50-64,all_types,6.599930988,69.188712408,10.48324786,,,
case,06 - JUN,24,Jun 13-Jun 19,65-79,all_types,6.683075839,68.073286644,10.185921616,,,
case,06 - JUN,24,Jun 13-Jun 19,80+,all_types,10.289723603,51.660005586,5.020543562,,,
case,06 - JUN,24,Jun 13-Jun 19,all_ages_adj,Janssen,14.968376915,67.900043705,4.536232892,13.783912497,69.043807852,5.009013795
case,06 - JUN,24,Jun 13-Jun 19,all_ages_adj,Moderna,4.382680386,67.900043705,15.492812099,4.712237387,69.043807852,14.652022423
case,06 - JUN,24,Jun 13-Jun 19,all_ages_adj,Pfizer,7.550258149,67.900043705,8.993075781,6.804791391,69.043807852,10.14635187
case,06 - JUN,24,Jun 13-Jun 19,all_ages_adj,all_types,6.854650505,67.900043705,9.905690109,6.357186493,69.043807852,10.860749158
case,06 - JUN,25,Jun 20-Jun 26,12-17,all_types,4.191106472,44.024592556,10.504288748,,,
case,06 - JUN,25,Jun 20-Jun 26,18-29,all_types,7.506001566,76.974140185,10.25501254,,,
case,06 - JUN,25,Jun 20-Jun 26,30-49,all_types,10.365283328,82.268062701,7.93688509,,,
case,06 - JUN,25,Jun 20-Jun 26,50-64,all_types,7.709125225,71.90025738,9.326642813,,,
case,06 - JUN,25,Jun 20-Jun 26,65-79,all_types,7.891068817,69.750912164,8.83922239,,,
case,06 - JUN,25,Jun 20-Jun 26,80+,all_types,11.681832336,47.564292246,4.071646543,,,
case,06 - JUN,25,Jun 20-Jun 26,all_ages_adj,Janssen,18.057332029,71.740934826,3.972953187,16.380563462,72.593314475,4.431673834
case,06 - JUN,25,Jun 20-Jun 26,all_ages_adj,Moderna,5.625003877,71.740934826,12.753935179,5.174511811,72.593314475,14.029017061
case,06 - JUN,25,Jun 20-Jun 26,all_ages_adj,Pfizer,9.542169219,71.740934826,7.51830461,9.212429493,72.593314475,7.879931622
case,06 - JUN,25,Jun 20-Jun 26,all_ages_adj,all_types,8.636364731,71.740934826,8.306844032,8.465592699,72.593314475,8.575101243
case,06 - JUN,26,Jun 27-Jul 03,12-17,all_types,5.191205469,65.576702386,12.632268706,,,
case,06 - JUN,26,Jun 27-Jul 03,18-29,all_types,11.580638518,106.46180732,9.193086128,,,
case,06 - JUN,26,Jun 27-Jul 03,30-49,all_types,15.574869722,115.340476557,7.405550006,,,
case,06 - JUN,26,Jun 27-Jul 03,50-64,all_types,11.435149931,98.898876571,8.64867336,,,
case,06 - JUN,26,Jun 27-Jul 03,65-79,all_types,10.286045672,90.7028028,8.81804395,,,
case,06 - JUN,26,Jun 27-Jul 03,80+,all_types,14.229818992,65.602380023,4.610204814,,,
case,06 - JUN,26,Jun 27-Jul 03,all_ages_adj,Janssen,25.337280239,99.860132613,3.9412333,23.098772285,100.710011078,4.359972462
case,06 - JUN,26,Jun 27-Jul 03,all_ages_adj,Moderna,7.725718462,99.860132613,12.925675858,7.476863694,100.710011078,13.469552903
case,06 - JUN,26,Jun 27-Jul 03,all_ages_adj,Pfizer,13.873968157,99.860132613,7.197661944,13.555915939,100.710011078,7.429229536
case,06 - JUN,26,Jun 27-Jul 03,all_ages_adj,all_types,12.325507518,99.860132613,8.101908377,12.326756936,100.710011078,8.17003301
case,07 - JUL,27,Jul 04-Jul 10,12-17,all_types,6.088198169,92.54514807,15.200745031,,,
case,07 - JUL,27,Jul 04-Jul 10,18-29,all_types,20.452832588,164.72688277,8.053988711,,,
case,07 - JUL,27,Jul 04-Jul 10,30-49,all_types,23.854531459,170.465154809,7.146028213,,,
case,07 - JUL,27,Jul 04-Jul 10,50-64,all_types,18.594622421,115.809342425,6.228109386,,,
case,07 - JUL,27,Jul 04-Jul 10,65-79,all_types,16.649088131,127.928572029,7.683818538,,,
case,07 - JUL,27,Jul 04-Jul 10,80+,all_types,22.473546104,83.547368814,3.717587266,,,
case,07 - JUL,27,Jul 04-Jul 10,all_ages_adj,Janssen,37.981955819,142.526883906,3.752489329,33.987376147,143.091889316,4.210148165
case,07 - JUL,27,Jul 04-Jul 10,all_ages_adj,Moderna,11.858779279,142.526883906,12.018680891,11.215801006,143.091889316,12.758062419
case,07 - JUL,27,Jul 04-Jul 10,all_ages_adj,Pfizer,22.839202407,142.526883906,6.240449266,22.531943856,143.091889316,6.350623374
case,07 - JUL,27,Jul 04-Jul 10,all_ages_adj,all_types,19.697050031,142.526883906,7.235950748,19.534931512,143.091889316,7.324924033
case,07 - JUL,28,Jul 11-Jul 17,12-17,all_types,11.293269802,157.631979302,13.958045992,,,
case,07 - JUL,28,Jul 11-Jul 17,18-29,all_types,35.759534014,273.825963933,7.657425397,,,
case,07 - JUL,28,Jul 11-Jul 17,30-49,all_types,44.218971228,282.278117332,6.383642801,,,
case,07 - JUL,28,Jul 11-Jul 17,50-64,all_types,33.021508312,229.387759152,6.946616641,,,
case,07 - JUL,28,Jul 11-Jul 17,65-79,all_types,29.205760582,206.095403935,7.056669637,,,
case,07 - JUL,28,Jul 11-Jul 17,80+,all_types,37.795253505,131.652826857,3.483316413,,,
case,07 - JUL,28,Jul 11-Jul 17,all_ages_adj,Janssen,62.949801009,243.017431994,3.860495635,59.229194956,243.50394694,4.111214868
case,07 - JUL,28,Jul 11-Jul 17,all_ages_adj,Moderna,22.503748367,243.017431994,10.79897571,21.567161372,243.50394694,11.290495895
case,07 - JUL,28,Jul 11-Jul 17,all_ages_adj,Pfizer,40.408925202,243.017431994,6.013954362,40.249833247,243.50394694,6.049812566
case,07 - JUL,28,Jul 11-Jul 17,all_ages_adj,all_types,35.18300995,243.017431994,6.907238248,35.192450561,243.50394694,6.919209747
case,07 - JUL,29,Jul 18-Jul 24,12-17,all_types,19.422081039,255.247184891,13.142113061,,,
case,07 - JUL,29,Jul 18-Jul 24,18-29,all_types,60.564384149,422.578481909,6.977343002,,,
case,07 - JUL,29,Jul 18-Jul 24,30-49,all_types,72.304627058,457.630530308,6.329201172,,,
case,07 - JUL,29,Jul 18-Jul 24,50-64,all_types,57.992884641,372.432282598,6.422034098,,,
case,07 - JUL,29,Jul 18-Jul 24,65-79,all_types,52.762961466,322.535367096,6.112912508,,,
case,07 - JUL,29,Jul 18-Jul 24,80+,all_types,62.844495022,198.884732942,3.164712086,,,
case,07 - JUL,29,Jul 18-Jul 24,all_ages_adj,Janssen,101.950173946,387.36883495,3.79958974,93.667686445,388.821730552,4.151076484
case,07 - JUL,29,Jul 18-Jul 24,all_ages_adj,Moderna,40.557696657,387.36883495,9.551056073,42.254866298,388.821730552,9.201821343
case,07 - JUL,29,Jul 18-Jul 24,all_ages_adj,Pfizer,68.135900476,387.36883495,5.685238358,67.313226683,388.821730552,5.77630504
case,07 - JUL,29,Jul 18-Jul 24,all_ages_adj,all_types,60.055395217,387.36883495,6.450192086,59.376972938,388.821730552,6.548358923
case,07 - JUL,30,Jul 25-Jul 31,12-17,all_types,33.423072805,366.819877384,10.975049467,,,
case,07 - JUL,30,Jul 25-Jul 31,18-29,all_types,97.369199655,609.353841359,6.258178598,,,
case,07 - JUL,30,Jul 25-Jul 31,30-49,all_types,104.715118673,641.006696502,6.121434084,,,
case,07 - JUL,30,Jul 25-Jul 31,50-64,all_types,84.469376243,527.287468872,6.242350688,,,
case,07 - JUL,30,Jul 25-Jul 31,65-79,all_types,79.860023154,472.629396768,5.918222636,,,
case,07 - JUL,30,Jul 25-Jul 31,80+,all_types,94.274802504,285.368090865,3.026981582,,,
case,07 - JUL,30,Jul 25-Jul 31,all_ages_adj,Janssen,143.478092464,551.060075795,3.840726248,131.781565269,552.596219585,4.193274063
case,07 - JUL,30,Jul 25-Jul 31,all_ages_adj,Moderna,60.979753495,551.060075795,9.036771128,61.238760226,552.596219585,9.023634991
case,07 - JUL,30,Jul 25-Jul 31,all_ages_adj,Pfizer,102.373891111,551.060075795,5.382818508,101.655572311,552.596219585,5.43596585
case,07 - JUL,30,Jul 25-Jul 31,all_ages_adj,all_types,89.535695652,551.060075795,6.154641138,89.01503172,552.596219585,6.2078978
case,08 - AUG,31,Aug 01-Aug 07,12-17,all_types,48.929940706,453.743093057,9.273321948,,,
case,08 - AUG,31,Aug 01-Aug 07,18-29,all_types,115.814918857,695.582061463,6.005979785,,,
case,08 - AUG,31,Aug 01-Aug 07,30-49,all_types,127.606556817,753.85052107,5.907615877,,,
case,08 - AUG,31,Aug 01-Aug 07,50-64,all_types,106.042699592,648.449679827,6.114986532,,,
case,08 - AUG,31,Aug 01-Aug 07,65-79,all_types,99.450134487,591.495968712,5.947663839,,,
case,08 - AUG,31,Aug 01-Aug 07,80+,all_types,118.83900967,358.650595433,3.017953418,,,
case,08 - AUG,31,Aug 01-Aug 07,all_ages_adj,Janssen,166.766316294,654.35303041,3.923772168,151.299846002,658.192435545,4.350251854
case,08 - AUG,31,Aug 01-Aug 07,all_ages_adj,Moderna,76.0663118,654.35303041,8.602402495,76.122294383,658.192435545,8.646513362
case,08 - AUG,31,Aug 01-Aug 07,all_ages_adj,Pfizer,127.1222338,654.35303041,5.147431813,125.963282994,658.192435545,5.225272158
case,08 - AUG,31,Aug 01-Aug 07,all_ages_adj,all_types,110.518249797,654.35303041,5.920769028,109.738085606,658.192435545,5.997848713
case,08 - AUG,32,Aug 08-Aug 14,12-17,all_types,55.201633531,569.622972457,10.318951379,,,
case,08 - AUG,32,Aug 08-Aug 14,18-29,all_types,114.160599641,716.49593103,6.276210297,,,
case,08 - AUG,32,Aug 08-Aug 14,30-49,all_types,136.691691584,812.909916009,5.947032381,,,
case,08 - AUG,32,Aug 08-Aug 14,50-64,all_types,113.004050976,719.442089109,6.366515916,,,
case,08 - AUG,32,Aug 08-Aug 14,65-79,all_types,108.513870499,677.366450542,6.242210765,,,
case,08 - AUG,32,Aug 08-Aug 14,80+,all_types,131.303560086,415.294215825,3.162855718,,,
case,08 - AUG,32,Aug 08-Aug 14,all_ages_adj,Janssen,174.64919854,715.689204505,4.097867099,156.212239434,720.850691636,4.614559616
case,08 - AUG,32,Aug 08-Aug 14,all_ages_adj,Moderna,84.222797704,715.689204505,8.497571014,79.061917979,720.850691636,9.117546223
case,08 - AUG,32,Aug 08-Aug 14,all_ages_adj,Pfizer,133.143377618,715.689204505,5.37532709,131.582885392,720.850691636,5.478301296
case,08 - AUG,32,Aug 08-Aug 14,all_ages_adj,all_types,117.61700081,715.689204505,6.084912892,116.203812085,720.850691636,6.203330843
case,08 - AUG,33,Aug 15-Aug 21,12-17,all_types,71.844256799,791.933721879,11.022923156,,,
case,08 - AUG,33,Aug 15-Aug 21,18-29,all_types,116.707154269,686.88590794,5.885550995,,,
case,08 - AUG,33,Aug 15-Aug 21,30-49,all_types,141.455966701,807.332470041,5.707305877,,,
case,08 - AUG,33,Aug 15-Aug 21,50-64,all_types,117.781923807,710.998003957,6.036563005,,,
case,08 - AUG,33,Aug 15-Aug 21,65-79,all_types,110.323753587,693.258582536,6.283856015,,,
case,08 - AUG,33,Aug 15-Aug 21,80+,all_types,135.016322119,423.195991973,3.134406162,,,
case,08 - AUG,33,Aug 15-Aug 21,all_ages_adj,Janssen,176.050777582,736.662814184,4.184376941,171.920477639,736.722208767,4.285249895
case,08 - AUG,33,Aug 15-Aug 21,all_ages_adj,Moderna,89.949998498,736.662814184,8.189692346,86.277185941,736.722208767,8.539015277
case,08 - AUG,33,Aug 15-Aug 21,all_ages_adj,Pfizer,136.472321418,736.662814184,5.397891723,135.641664987,736.722208767,5.431385768
case,08 - AUG,33,Aug 15-Aug 21,all_ages_adj,all_types,121.796811288,736.662814184,6.048293107,121.40083253,736.722208767,6.06851035
case,08 - AUG,34,Aug 22-Aug 28,12-17,all_types,85.417814925,886.512159059,10.378539416,,,
case,08 - AUG,34,Aug 22-Aug 28,18-29,all_types,116.696057914,652.577048277,5.592108765,,,
case,08 - AUG,34,Aug 22-Aug 28,30-49,all_types,141.336410714,790.96328203,5.596316462,,,
case,08 - AUG,34,Aug 22-Aug 28,50-64,all_types,114.047737031,687.151281114,6.025119823,,,
case,08 - AUG,34,Aug 22-Aug 28,65-79,all_types,106.650736782,679.178141305,6.368246126,,,
case,08 - AUG,34,Aug 22-Aug 28,80+,all_types,127.005860162,408.866724116,3.219274478,,,
case,08 - AUG,34,Aug 22-Aug 28,all_ages_adj,Janssen,169.869459718,729.520818876,4.294596687,162.837129417,727.388823598,4.466971545
case,08 - AUG,34,Aug 22-Aug 28,all_ages_adj,Moderna,90.645606541,729.520818876,8.048054911,86.300192685,727.388823598,8.428588639
case,08 - AUG,34,Aug 22-Aug 28,all_ages_adj,Pfizer,133.565099727,729.520818876,5.461911984,134.177888294,727.388823598,5.421078188
case,08 - AUG,34,Aug 22-Aug 28,all_ages_adj,all_types,120.025700334,729.520818876,6.078038427,121.352578238,727.388823598,5.99401211
case,09 - SEP,35,Aug 29-Sep 04,12-17,all_types,81.698800892,767.640286242,9.395979841,,,
case,09 - SEP,35,Aug 29-Sep 04,18-29,all_types,117.616842517,614.954305769,5.228454468,,,
